title,artist,danceability,energy,db,valence,bpm
Me Against the Music (feat. Madonna) - LP Version / Video Mix,Britney Spears,0.804,0.836,-6.635,0.85,120.046
Sorry Seems To Be The Hardest Word,Blue,0.564,0.6,-6.814,0.442,78.955
Lost Without You,Delta Goodrem,0.581,0.747,-6.682,0.514,146.301
Rock Your Body,Justin Timberlake,0.892,0.714,-6.055,0.817,100.972
Seven Nation Army,The White Stripes,0.741,0.469,-7.627,0.313,123.904
Damn! (feat. Lil' Jon) - Club Mix,Youngbloodz,0.772,0.724,-5.799,0.518,84.038
Baby Boy (feat. Sean Paul),Beyoncé,0.655,0.488,-9.17,0.791,91.025
Magic Stick,Lil' Kim,0.849,0.498,-7.872,0.502,92.98
Can't Hold Us Down (feat. Lil' Kim),Christina Aguilera,0.859,0.658,-4.481,0.538,98.989
Someday,Nickelback,0.455,0.858,-5.659,0.597,163.118
U Make Me Wanna - Radio Edit,Blue,0.6,0.736,-6.228,0.848,158.108
Rain On Me,Ashanti,0.606,0.699,-3.103,0.509,83.701
Headstrong,Trapt,0.492,0.896,-5.819,0.534,184.981
Sunrise,Simply Red,0.791,0.733,-5.123,0.917,105.987
"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee,0.811,0.657,-6.197,0.777,199.958
Sound Of The Underground,Girls Aloud,0.568,0.867,-5.861,0.88,163.944
Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,Nelly,0.527,0.808,-4.749,0.907,87.025
Make Luv,Room 5,0.883,0.887,-4.92,0.648,124.814
Be Faithful,Fatman Scoop,0.649,0.713,-6.488,0.629,101.129
Behind Blue Eyes,Limp Bizkit,0.595,0.489,-6.66,0.0902,120.315
Too Lost In You,Sugababes,0.586,0.705,-4.904,0.459,98.014
"Wanksta - From ""8 Mile"" Soundtrack",50 Cent,0.802,0.863,-3.552,0.873,81.008
Frontin' (feat. Jay-Z) - Club Mix,Pharrell Williams,0.894,0.404,-5.913,0.759,102.009
Right Thurr,Chingy,0.866,0.749,-3.977,0.891,92.074
Sing For The Moment,Eminem,0.668,0.824,-4.164,0.185,163.961
The Jump Off (feat. Mr. Cheeks) - Remix,Lil' Kim,0.853,0.752,-8.831,0.935,104.946
My Love Is Like...Wo - Main Mix,Mýa,0.831,0.695,-6.491,0.722,132.817
21 Questions,50 Cent,0.646,0.813,-3.846,0.895,92.729
Air Force Ones,Nelly,0.784,0.459,-9.74,0.618,164.062
Gossip Folks (feat. Ludacris),Missy Elliott,0.707,0.538,-5.264,0.439,121.732
Jump,Girls Aloud,0.658,0.826,-6.031,0.795,134.465
Pretty Green Eyes - Radio Edit,Ultrabeat,0.553,0.775,-10.284,0.51,139.993
Fighter,Christina Aguilera,0.435,0.92,-1.357,0.45,188.899
Don't Wanna Try,Frankie J,0.655,0.433,-7.577,0.199,130.127
